hash,frac_bits,bit_agreement,exact_match,n_images
ahash,8,0.999755859375,0.984375,128
ahash,12,1.0,1.0,128
ahash,16,1.0,1.0,128
ahash,20,1.0,1.0,128
ahash16,8,0.999755859375,0.9375,128
ahash16,12,0.999969482421875,0.9921875,128
ahash16,16,1.0,1.0,128
ahash16,20,1.0,1.0,128
mhash,8,0.99951171875,0.984375,128
mhash,12,0.999755859375,0.9921875,128
mhash,16,1.0,1.0,128
mhash,20,1.0,1.0,128
dhash,8,0.99951171875,0.9765625,128
dhash,12,0.999755859375,0.984375,128
dhash,16,0.999755859375,0.984375,128
dhash,20,0.999755859375,0.984375,128
dhash16,8,0.999267578125,0.8828125,128
dhash16,12,0.999481201171875,0.9296875,128
dhash16,16,0.999481201171875,0.9296875,128
dhash16,20,0.999481201171875,0.9296875,128
phash,8,0.9990234375,0.96875,128
phash,12,1.0,1.0,128
phash,16,1.0,1.0,128
phash,20,1.0,1.0,128
phash_mean,8,0.9990234375,0.9375,128
phash_mean,12,1.0,1.0,128
phash_mean,16,1.0,1.0,128
phash_mean,20,1.0,1.0,128
whash_haar,8,0.99951171875,0.984375,128
whash_haar,12,0.999755859375,0.9921875,128
whash_haar,16,1.0,1.0,128
whash_haar,20,1.0,1.0,128
blockhash,8,0.999237060546875,0.9140625,128
blockhash,12,0.999603271484375,0.953125,128
blockhash,16,0.999603271484375,0.953125,128
blockhash,20,0.999603271484375,0.953125,128
pdq,8,0.99224853515625,0.28125,128
pdq,12,0.9993896484375,0.921875,128
pdq,16,0.99993896484375,0.9921875,128
pdq,20,1.0,1.0,128
rhash8,8,0.8453369140625,0.0,128
rhash8,12,0.9818115234375,0.5234375,128
rhash8,16,0.9979248046875,0.90625,128
rhash8,20,0.9986572265625,0.953125,128
rhash16,8,0.906829833984375,0.0,128
rhash16,12,0.988616943359375,0.25,128
rhash16,16,0.997344970703125,0.796875,128
rhash16,20,0.997802734375,0.890625,128
rhash32,8,0.929107666015625,0.0,128
rhash32,12,0.9914779663085938,0.0859375,128
rhash32,16,0.9964141845703125,0.59375,128
rhash32,20,0.99664306640625,0.75,128
rhash_energy,8,0.9766845703125,0.0,128
rhash_energy,12,0.998260498046875,0.65625,128
rhash_energy,16,0.999908447265625,0.9765625,128
rhash_energy,20,1.0,1.0,128
