hash,n_bits,family,threshold,bit_agreement,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
ahash,64,spatial,mean,1.0,0,0,64,0,0,1344,13312,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,20544,0,61632,0.007704,0.0,61632.0,1.220544,1.2000000000000002,0.020544,LAN
ahash,64,spatial,mean,1.0,0,0,64,0,0,1344,13312,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,20544,0,61632,0.007704,0.0,61632.0,240.20544,240.0,0.20544,WAN
ahash,64,spatial,mean,1.0,0,0,64,0,0,1344,13312,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,20544,0,254208,0.031776,0.657408,254208.0,1.527104,1.4000000000000001,0.127104,LAN
ahash,64,spatial,mean,1.0,0,0,64,0,0,1344,13312,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,20544,0,254208,0.031776,0.657408,254208.0,281.27104,280.0,1.27104,WAN
ahash16,256,spatial,mean,1.0,0,0,256,0,0,1792,27648,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,82176,0,246528,0.030816,0.0,246528.0,1.2821760000000002,1.2000000000000002,0.082176,LAN
ahash16,256,spatial,mean,1.0,0,0,256,0,0,1792,27648,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,82176,0,246528,0.030816,0.0,246528.0,240.82176,240.0,0.82176,WAN
ahash16,256,spatial,mean,1.0,0,0,256,0,0,1792,27648,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,82176,0,558080,0.06976,2.629632,558080.0,1.67904,1.4000000000000001,0.27904,LAN
ahash16,256,spatial,mean,1.0,0,0,256,0,0,1792,27648,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,82176,0,558080,0.06976,2.629632,558080.0,282.7904,280.0,2.7904,WAN
mhash,64,spatial,median,1.0,0,0,2080,0,2016,1344,13312,10,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",10,648096,0,2331360,0.29142,0.0,2331360.0,2.77712,2.0,0.7771199999999999,LAN
mhash,64,spatial,median,1.0,0,0,2080,0,2016,1344,13312,10,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",10,648096,0,2331360,0.29142,0.0,2331360.0,407.7712,400.0,7.771199999999999,WAN
mhash,64,spatial,median,1.0,0,0,2080,0,2016,1344,13312,10,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,648096,0,3022464,0.377808,20.739072,3022464.0,3.711232,2.2,1.511232,LAN
mhash,64,spatial,median,1.0,0,0,2080,0,2016,1344,13312,10,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,648096,0,3022464,0.377808,20.739072,3022464.0,455.11232,440.0,15.11232,WAN
dhash,64,spatial,pairwise,0.999755859375,0,0,64,0,0,1384,14592,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,20544,0,61632,0.007704,0.0,61632.0,1.220544,1.2000000000000002,0.020544,LAN
dhash,64,spatial,pairwise,0.999755859375,0,0,64,0,0,1384,14592,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,20544,0,61632,0.007704,0.0,61632.0,240.20544,240.0,0.20544,WAN
dhash,64,spatial,pairwise,0.999755859375,0,0,64,0,0,1384,14592,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,20544,0,259328,0.032416,0.657408,259328.0,1.5296640000000001,1.4000000000000001,0.129664,LAN
dhash,64,spatial,pairwise,0.999755859375,0,0,64,0,0,1384,14592,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,20544,0,259328,0.032416,0.657408,259328.0,281.29664,280.0,1.29664,WAN
dhash16,256,spatial,pairwise,0.999481201171875,0,0,256,0,0,1840,29184,6,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,82176,0,246528,0.030816,0.0,246528.0,1.2821760000000002,1.2000000000000002,0.082176,LAN
