component,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
hashing/ahash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,89600000.0,1382400000.0,6.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,4108800000.0,0.0,12326400000,1540.8,0.0,246528.0,4109.999999999999,1.2000000000000002,4108.799999999999,LAN
hashing/ahash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,89600000.0,1382400000.0,6.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,4108800000.0,0.0,12326400000,1540.8,0.0,246528.0,41328.0,240.0,41088.0,WAN
hashing/ahash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,89600000.0,1382400000.0,6.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,4108800000.0,0.0,27904000000,3488.0,131481.6,558080.0,13953.4,1.4000000000000001,13952.0,LAN
hashing/ahash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,89600000.0,1382400000.0,6.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,4108800000.0,0.0,27904000000,3488.0,131481.6,558080.0,139800.0,280.0,139520.0,WAN
hashing/rhash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,192000000.0,4659200000.0,6.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,4108800000.0,0.0,12326400000,1540.8,0.0,246528.0,4109.999999999999,1.2000000000000002,4108.799999999999,LAN
hashing/rhash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,192000000.0,4659200000.0,6.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,4108800000.0,0.0,12326400000,1540.8,0.0,246528.0,41328.0,240.0,41088.0,WAN
hashing/rhash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,192000000.0,4659200000.0,6.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,4108800000.0,0.0,41011200000,5126.4,131481.6,820224.0,20507.000000000004,1.4000000000000001,20505.600000000002,LAN
hashing/rhash16 (50k images),0.0,0.0,12800000.0,0.0,0.0,192000000.0,4659200000.0,6.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,4108800000.0,0.0,41011200000,5126.4,131481.6,820224.0,205336.0,280.0,205056.0,WAN
hashing/phash (50k images),0.0,0.0,104000000.0,0.0,100800000.0,256000000.0,6707200000.0,10.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",10,32404800000.0,0.0,116568000000,14571.0,0.0,2331360.0,38858.0,2.0,38856.0,LAN
hashing/phash (50k images),0.0,0.0,104000000.0,0.0,100800000.0,256000000.0,6707200000.0,10.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",10,32404800000.0,0.0,116568000000,14571.0,0.0,2331360.0,388960.0,400.0,388560.0,WAN
hashing/phash (50k images),0.0,0.0,104000000.0,0.0,100800000.0,256000000.0,6707200000.0,10.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,32404800000.0,0.0,175289600000,21911.2,1036953.6,3505792.0,87647.0,2.2,87644.8,LAN
hashing/phash (50k images),0.0,0.0,104000000.0,0.0,100800000.0,256000000.0,6707200000.0,10.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",11,32404800000.0,0.0,175289600000,21911.2,1036953.6,3505792.0,876888.0,440.0,876448.0,WAN
hashing/phash_mean (50k images),0.0,0.0,3200000.0,0.0,0.0,256000000.0,6707200000.0,6.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,1027200000.0,0.0,3081600000,385.2,0.0,61632.0,1028.3999999999999,1.2000000000000002,1027.1999999999998,LAN
hashing/phash_mean (50k images),0.0,0.0,3200000.0,0.0,0.0,256000000.0,6707200000.0,6.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",6,1027200000.0,0.0,3081600000,385.2,0.0,61632.0,10512.0,240.0,10272.0,WAN
hashing/phash_mean (50k images),0.0,0.0,3200000.0,0.0,0.0,256000000.0,6707200000.0,6.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,1027200000.0,0.0,36876800000,4609.6,32870.4,737536.0,18439.800000000003,1.4000000000000001,18438.4,LAN
hashing/phash_mean (50k images),0.0,0.0,3200000.0,0.0,0.0,256000000.0,6707200000.0,6.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,1027200000.0,0.0,36876800000,4609.6,32870.4,737536.0,184664.0,280.0,184384.0,WAN
hashing/pdq (50k images),0.0,0.0,1644800000.0,0.0,1632000000.0,972800000.0,42752000000.0,11.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",11,524230400000.0,0.0,1886035200000,235754.4,0.0,37720704.0,628680.6,2.2,628678.4,LAN
hashing/pdq (50k images),0.0,0.0,1644800000.0,0.0,1632000000.0,972800000.0,42752000000.0,11.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",11,524230400000.0,0.0,1886035200000,235754.4,0.0,37720704.0,6287224.0,440.0,6286784.0,WAN
hashing/pdq (50k images),0.0,0.0,1644800000.0,0.0,1632000000.0,972800000.0,42752000000.0,11.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",12,524230400000.0,0.0,2430336000000,303792.0,16775372.8,48606720.0,1215170.4,2.4000000000000004,1215168.0,LAN
