attack,config,elimination_rate,sacrifice_rate,residual_poison_rate,n_removed,auc_target_class_best
label_flip_only,"Sieve-B (block_collision, MAD)",0.052,0.027178947368421053,0.04878651269066881,1421,0.61189908994709
label_flip_only,"Sieve-L (bit_llr, 2-means)",0.1792,0.1119157894736842,0.04638755764535672,5764,0.6195309206349207
label_flip_only,"Sieve-S (hash_stability, MAD)",0.0032,0.005536842105263158,0.05011160489855014,271,0.6735388783068783
label_flip_only,PHash-Sieve (B + L),0.2,0.11993684210526316,0.045658973129694316,6197,0.61189908994709
badnets,"Sieve-B (block_collision, MAD)",0.638,0.024336842105263157,0.01915384452581007,2751,0.8246995803608898
badnets,"Sieve-L (bit_llr, 2-means)",0.0,0.10492631578947369,0.05553580948995913,4984,0.6745498531263113
badnets,"Sieve-S (hash_stability, MAD)",0.0036,0.0053894736842105264,0.050085452900371974,265,0.6688569869911876
badnets,PHash-Sieve (B + L),0.638,0.12837894736842106,0.021391259129694848,7693,0.8246995803608898
badnets_1px,"Sieve-B (block_collision, MAD)",0.0572,0.024526315789473684,0.04840630904460692,1308,0.6069911036508602
badnets_1px,"Sieve-L (bit_llr, 2-means)",0.1784,0.11498947368421053,0.046584414406241496,5908,0.5431921527486362
badnets_1px,"Sieve-S (hash_stability, MAD)",0.0044,0.005515789473684211,0.05005329096868904,273,0.6592389844733528
badnets_1px,PHash-Sieve (B + L),0.1992,0.13098947368421052,0.04625693160813309,6720,0.6069911036508602
blended,"Sieve-B (block_collision, MAD)",0.7388,0.011768421052631579,0.013720216834054713,2406,0.9093536298783046
blended,"Sieve-L (bit_llr, 2-means)",0.9508,0.0,0.00258278562879281,2377,0.9999995803608897
blended,"Sieve-S (hash_stability, MAD)",0.0032,0.005431578947368421,0.05010656693610005,266,0.8179733529164919
blended,PHash-Sieve (B + L),0.9592,0.011768421052631579,0.002168229067023787,2957,0.9093536298783046
blended_a05,"Sieve-B (block_collision, MAD)",0.3912,0.0244,0.031799093245304305,2137,0.6638635333613094
blended_a05,"Sieve-L (bit_llr, 2-means)",0.6184,0.055473684210526314,0.02082105676684345,4181,0.9970701636592532
blended_a05,"Sieve-S (hash_stability, MAD)",0.0028,0.005515789473684211,0.05012969777402425,269,0.7550548048678137
blended_a05,PHash-Sieve (B + L),0.6528,0.07195789473684211,0.019310344827586208,5050,0.6638635333613094
blended_a02,"Sieve-B (block_collision, MAD)",0.0112,0.024336842105263157,0.05063913470993117,1184,0.6011669744020143
blended_a02,"Sieve-L (bit_llr, 2-means)",0.2364,0.054821052631578944,0.04078624078624079,3195,0.8377824171212758
blended_a02,"Sieve-S (hash_stability, MAD)",0.0024,0.005515789473684211,0.05014879755489423,268,0.7099616030214015
blended_a02,PHash-Sieve (B + L),0.2432,0.07852631578947368,0.041434891156760544,4338,0.6011669744020143
wanet,"Sieve-B (block_collision, MAD)",0.0348,0.024336842105263157,0.04949032959369937,1243,0.5813488879563575
wanet,"Sieve-L (bit_llr, 2-means)",0.1808,0.13886315789473686,0.04768113242689514,7048,0.6213487620646244
wanet,"Sieve-S (hash_stability, MAD)",0.006,0.005452631578947369,0.04997385673490729,274,0.5692793537557701
wanet,PHash-Sieve (B + L),0.1956,0.15269473684210527,0.04758862227270576,7742,0.5813488879563575
refool,"Sieve-B (block_collision, MAD)",0.0448,0.024526315789473684,0.04901176035958377,1277,0.6258903902643727
refool,"Sieve-L (bit_llr, 2-means)",0.1808,0.11393684210526316,0.04640203008881639,5864,0.6035598405371381
refool,"Sieve-S (hash_stability, MAD)",0.0032,0.005494736842105263,0.05010958959200499,269,0.6430721359630718
refool,PHash-Sieve (B + L),0.1996,0.1279157894736842,0.04607944732297064,6575,0.6258903902643727
batt,"Sieve-B (block_collision, MAD)",0.9988,0.014989473684210526,6.411489388985061e-05,3209,0.9992554497354497
batt,"Sieve-L (bit_llr, 2-means)",0.9984,0.05576842105263158,8.917623453349682e-05,5145,0.9999845925925925
batt,"Sieve-S (hash_stability, MAD)",0.002,0.006084210526315789,0.050195147467106585,294,0.5492322116402117
batt,PHash-Sieve (B + L),0.9988,0.06248421052631579,6.736274840013472e-05,5465,0.9992554497354497
adaptive_patch,"Sieve-B (block_collision, MAD)",0.054,0.024336842105263157,0.04855365538196227,1291,0.6129825010490978
adaptive_patch,"Sieve-L (bit_llr, 2-means)",0.186,0.11263157894736842,0.04605635396627815,5815,0.6009008812421318
adaptive_patch,"Sieve-S (hash_stability, MAD)",0.0032,0.0053894736842105264,0.05010455203474345,264,0.6768116240033571
adaptive_patch,PHash-Sieve (B + L),0.2112,0.12650526315789473,0.0453719255458666,6537,0.6129825010490978
clean_label_badnets,"Sieve-B (block_collision, MAD)",0.6804,0.013242105263157895,0.016761065659744074,2330,0.89133208
clean_label_badnets,"Sieve-L (bit_llr, 2-means)",0.0,0.10917894736842106,0.05578613826036506,5186,0.76176224
clean_label_badnets,"Sieve-S (hash_stability, MAD)",0.0076,0.005494736842105263,0.049899436846339504,280,0.50606376
clean_label_badnets,PHash-Sieve (B + L),0.6804,0.12122105263157895,0.01878188100890905,7459,0.89133208
stego,"Sieve-B (block_collision, MAD)",0.0012,0.027178947368421053,0.051266784379747875,1294,0.7499234708994709
stego,"Sieve-L (bit_llr, 2-means)",0.6532,0.08332631578947368,0.019523069648044317,5591,0.9932359788359788
stego,"Sieve-S (hash_stability, MAD)",0.002,0.005452631578947369,0.050164870516326204,264,0.787826962962963
stego,PHash-Sieve (B + L),0.654,0.10101052631578947,0.019854477012417656,6433,0.7499234708994709
phash_adaptive,"Sieve-B (block_collision, MAD)",0.9996,0.014484210526315789,2.1361587593189926e-05,3187,0.9997889947089946
phash_adaptive,"Sieve-L (bit_llr, 2-means)",0.9996,0.02882105263157895,2.1676927078817306e-05,3868,1.0
phash_adaptive,"Sieve-S (hash_stability, MAD)",0.0,0.0052,0.05024822623761381,247,0.9121919576719577
phash_adaptive,PHash-Sieve (B + L),0.9996,0.04233684210526316,2.1982853374367994e-05,4510,0.9997889947089946
phash_adaptive_ss,"Sieve-B (block_collision, MAD)",0.9996,0.014463157894736843,2.136113128551288e-05,3186,0.9998999365079365
phash_adaptive_ss,"Sieve-L (bit_llr, 2-means)",0.0072,0.1385684210526316,0.0571889400921659,6600,0.6726991746031746
phash_adaptive_ss,"Sieve-S (hash_stability, MAD)",0.0,0.0052,0.05024822623761381,247,0.9250368677248677
phash_adaptive_ss,PHash-Sieve (B + L),0.9996,0.14334736842105264,2.457485500835545e-05,9308,0.9998999365079365
